experiment,final_reward,max_reward,steps,best_model,plot
shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed1042,109.8283,112.2637,263048,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed1042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed1042.png
shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed2042,104.6514,104.6514,261496,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed2042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed2042.png
shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed42,80.8722,96.4959,265392,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed42.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed16_seed42.png
shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed1042,104.3411,119.2846,234847,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed1042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed1042.png
shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed2042,122.6122,122.6122,273984,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed2042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed2042.png
shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed42,119.8877,120.4268,269142,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed42.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed4_seed42.png
shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed1042,108.1573,114.4636,269088,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed1042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed1042.png
shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed2042,107.7681,120.6274,268688,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed2042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed2042.png
shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed42,138.7774,138.7774,231624,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed42.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size32_d_embed8_seed42.png
shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed1042,113.2226,113.2226,260696,ppo_highway_best_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed1042.pth,ppo_highway_rewards_shuffled_distpe_lr0.0003_hidden_dim512_clip_eps0.2_entropy_coef0.005_epochs8_batch_size64_d_embed16_seed1042.png
